Id;Symbol;Side;Open Time;Close Time;PnL (USDT);Balance
1;SOLUSDT;SYNC;2026-06-26 20:33:45;2026-06-26 20:33:45;0.5432;9000.5432
2;DASHUSDT;SYNC;2026-06-26 20:36:30;2026-06-26 20:36:30;1.404;9001.9473
3;STABLEUSDT;SYNC;2026-06-26 20:38:50;2026-06-26 20:38:50;0.7647;9002.712
4;XAGUSDT;SYNC;2026-06-26 20:56:35;2026-06-26 20:56:35;1.1077;9003.8197
5;SOLUSDT;SYNC;2026-06-26 21:03:30;2026-06-26 21:03:30;1.4073;9005.227
6;DASHUSDT;SYNC;2026-06-26 22:04:13;2026-06-26 22:04:13;1.4209;9006.6479
7;SOLUSDT;SYNC;2026-06-26 22:04:13;2026-06-26 22:04:13;1.5071;9008.155
8;DASHUSDT;SYNC;2026-06-26 22:31:32;2026-06-26 22:31:32;1.31;9009.465
9;DASHUSDT;SYNC;2026-06-27 01:26:05;2026-06-27 01:26:05;1.4348;9010.8998
10;DASHUSDT;SYNC;2026-06-27 04:59:07;2026-06-27 04:59:07;1.3654;9012.2651
11;STABLEUSDT;SYNC;2026-06-27 05:00:43;2026-06-27 05:00:43;0.2968;9012.562
12;STABLEUSDT;SYNC;2026-06-27 05:00:46;2026-06-27 05:00:46;0.3346;9012.8965
13;STABLEUSDT;SYNC;2026-06-27 05:01:02;2026-06-27 05:01:02;0.6928;9013.5894
14;STABLEUSDT;SYNC;2026-06-27 06:00:55;2026-06-27 06:00:55;0.5228;9014.1122
15;STABLEUSDT;SYNC;2026-06-27 06:29:50;2026-06-27 06:29:50;0.084;9014.1961
16;STABLEUSDT;SYNC;2026-06-27 06:29:55;2026-06-27 06:29:55;0.0361;9014.2323
17;STABLEUSDT;SYNC;2026-06-27 06:30:11;2026-06-27 06:30:11;0.5123;9014.7446
18;STABLEUSDT;SYNC;2026-06-27 06:48:04;2026-06-27 06:48:04;0.5685;9015.3131
19;DASHUSDT;SYNC;2026-06-27 09:01:51;2026-06-27 09:01:51;1.4323;9016.7454
20;BNBUSDT;SYNC;2026-06-27 11:05:47;2026-06-27 11:05:47;1.4045;9018.1499
21;STABLEUSDT;SYNC;2026-06-27 11:13:51;2026-06-27 11:13:51;0.4977;9018.6476
22;STABLEUSDT;SYNC;2026-06-27 11:51:51;2026-06-27 11:51:51;0.3353;9018.9828
23;STABLEUSDT;SYNC;2026-06-27 11:58:41;2026-06-27 11:58:41;0.2241;9019.207
24;STABLEUSDT;SYNC;2026-06-27 12:13:50;2026-06-27 12:13:50;0.5634;9019.7704
25;STABLEUSDT;SYNC;2026-06-27 12:16:44;2026-06-27 12:16:44;0.5622;9020.3326
26;STABLEUSDT;SYNC;2026-06-27 12:42:50;2026-06-27 12:42:50;0.4896;9020.8221
27;STABLEUSDT;SYNC;2026-06-27 12:47:22;2026-06-27 12:47:22;0.5734;9021.3955
28;STABLEUSDT;SYNC;2026-06-27 12:52:30;2026-06-27 12:52:30;0.52;9021.9155
29;STABLEUSDT;SYNC;2026-06-27 12:52:31;2026-06-27 12:52:31;0.0635;9021.979
30;STABLEUSDT;SYNC;2026-06-27 13:09:53;2026-06-27 13:09:53;0.5816;9022.5606
31;SOLUSDT;SYNC;2026-06-27 15:10:56;2026-06-27 15:10:56;1.179;9023.7395
32;STABLEUSDT;SYNC;2026-06-27 16:01:12;2026-06-27 16:01:12;3.1315;9026.8711
33;STABLEUSDT;SYNC;2026-06-27 17:49:09;2026-06-27 17:49:09;0.7123;9027.5834
34;STABLEUSDT;SYNC;2026-06-27 18:16:30;2026-06-27 18:16:30;1.7276;9029.311
35;BNBUSDT;SYNC;2026-06-27 19:25:01;2026-06-27 19:25:01;1.452;9030.763
36;SOLUSDT;SYNC;2026-06-27 19:25:02;2026-06-27 19:25:02;1.511;9032.274
37;DASHUSDT;SYNC;2026-06-27 19:25:09;2026-06-27 19:25:09;1.2659;9033.54
38;STABLEUSDT;SYNC;2026-06-27 20:15:36;2026-06-27 20:15:36;0.5128;9034.0527
39;DASHUSDT;SYNC;2026-06-27 21:39:59;2026-06-27 21:39:59;1.447;9035.4998
40;DASHUSDT;SYNC;2026-06-27 21:51:50;2026-06-27 21:51:50;0.2721;9035.7719
41;DASHUSDT;SYNC;2026-06-27 21:51:52;2026-06-27 21:51:52;0.3296;9036.1015
42;DASHUSDT;SYNC;2026-06-27 21:51:53;2026-06-27 21:51:53;0.3818;9036.4833
43;DASHUSDT;SYNC;2026-06-27 21:51:54;2026-06-27 21:51:54;0.2887;9036.772
44;BNBUSDT;SYNC;2026-06-27 21:52:24;2026-06-27 21:52:24;1.4999;9038.2719
45;SOLUSDT;SYNC;2026-06-27 22:02:45;2026-06-27 22:02:45;1.5235;9039.7954
46;BNBUSDT;SYNC;2026-06-27 22:05:27;2026-06-27 22:05:27;-5.2967;9034.4987
47;XAGUSDT;SYNC;2026-06-27 22:05:31;2026-06-27 22:05:31;-1.1066;9033.3921
48;XAGUSDT;SYNC;2026-06-27 22:05:33;2026-06-27 22:05:33;-0.9671;9032.425
49;SOLUSDT;SYNC;2026-06-27 22:16:34;2026-06-27 22:16:34;1.8559;9034.2809
50;DASHUSDT;SYNC;2026-06-27 22:16:40;2026-06-27 22:16:40;2.2859;9036.5668
51;JUPUSDT;SYNC;2026-06-27 22:37:02;2026-06-27 22:37:02;1.1407;9037.7075
52;JUPUSDT;SYNC;2026-06-27 23:28:49;2026-06-27 23:28:49;1.3729;9039.0804
53;STABLEUSDT;SYNC;2026-06-28 00:25:13;2026-06-28 00:25:13;0.6504;9039.7309
54;STABLEUSDT;SYNC;2026-06-28 00:53:36;2026-06-28 00:53:36;1.1027;9040.8336
55;STABLEUSDT;SYNC;2026-06-28 01:14:08;2026-06-28 01:14:08;1.0318;9041.8654
56;DASHUSDT;SYNC;2026-06-28 03:24:34;2026-06-28 03:24:34;2.1728;9044.0382
57;JUPUSDT;SYNC;2026-06-28 03:31:50;2026-06-28 03:31:50;1.3233;9045.3615
58;JUPUSDT;SYNC;2026-06-28 04:11:37;2026-06-28 04:11:37;1.3821;9046.7436
59;JUPUSDT;SYNC;2026-06-28 05:03:47;2026-06-28 05:03:47;1.3976;9048.1412
60;DASHUSDT;SYNC;2026-06-28 05:24:18;2026-06-28 05:24:18;2.1876;9050.3288
61;SOLUSDT;SYNC;2026-06-28 05:28:20;2026-06-28 05:28:20;1.6858;9052.0146
62;STABLEUSDT;SYNC;2026-06-28 05:53:41;2026-06-28 05:53:41;1.0625;9053.0771
63;DASHUSDT;SYNC;2026-06-28 06:12:07;2026-06-28 06:12:07;2.202;9055.279
64;JUPUSDT;SYNC;2026-06-28 06:17:44;2026-06-28 06:17:44;1.3502;9056.6292
65;STABLEUSDT;SYNC;2026-06-28 06:32:26;2026-06-28 06:32:26;0.4438;9057.073
66;STABLEUSDT;SYNC;2026-06-28 06:32:28;2026-06-28 06:32:28;2.2616;9059.3346
67;STABLEUSDT;SYNC;2026-06-28 06:47:56;2026-06-28 06:47:56;1.1094;9060.444
68;STABLEUSDT;SYNC;2026-06-28 10:00:17;2026-06-28 10:00:17;1.1602;9061.6043
69;STABLEUSDT;SYNC;2026-06-28 10:40:37;2026-06-28 10:40:37;1.1044;9062.7086
70;STABLEUSDT;SYNC;2026-06-28 10:56:23;2026-06-28 10:56:23;0.4289;9063.1375
71;STABLEUSDT;SYNC;2026-06-28 10:56:24;2026-06-28 10:56:24;0.6776;9063.8152
72;DASHUSDT;SYNC;2026-06-28 12:16:54;2026-06-28 12:16:54;2.0986;9065.9138
73;JUPUSDT;SYNC;2026-06-28 14:38:00;2026-06-28 14:38:00;1.3547;9067.2686
74;STABLEUSDT;SYNC;2026-06-28 16:32:11;2026-06-28 16:32:11;0.1917;9067.4602
75;STABLEUSDT;SYNC;2026-06-28 16:32:13;2026-06-28 16:32:13;0.9636;9068.4239
76;STABLEUSDT;SYNC;2026-06-28 16:32:14;2026-06-28 16:32:14;0.1017;9068.5256
77;DASHUSDT;SYNC;2026-06-28 19:38:47;2026-06-28 19:38:47;1.9635;9070.4891
78;SOLUSDT;SYNC;2026-06-28 22:53:26;2026-06-28 22:53:26;1.8799;9072.369
79;JUPUSDT;SYNC;2026-06-29 03:11:28;2026-06-29 03:11:28;3.8749;9076.2439
80;STABLEUSDT;SYNC;2026-06-29 07:30:13;2026-06-29 07:30:13;8.631;9084.8749
81;DASHUSDT;SYNC;2026-06-29 07:35:49;2026-06-29 07:35:49;-15.4386;9069.4362
82;SOLUSDT;SYNC;2026-06-29 07:35:52;2026-06-29 07:35:52;-2.7344;9066.7018
83;SOLUSDT;SYNC;2026-06-29 16:53:22;2026-06-29 16:53:22;0.7158;9067.4176
84;SOLUSDT;SYNC;2026-06-29 17:05:19;2026-06-29 17:05:19;1.6996;9069.1172
85;JUPUSDT;SYNC;2026-06-29 17:11:00;2026-06-29 17:11:00;1.3523;9070.4695
86;STABLEUSDT;SYNC;2026-06-29 17:11:15;2026-06-29 17:11:15;1.2578;9071.7273
87;SOLUSDT;SYNC;2026-06-29 17:13:09;2026-06-29 17:13:09;1.8546;9073.5819
88;DASHUSDT;SYNC;2026-06-29 17:13:17;2026-06-29 17:13:17;2.2747;9075.8567
89;SOLUSDT;SYNC;2026-06-29 17:15:23;2026-06-29 17:15:23;1.3206;9077.1773
90;SOLUSDT;SYNC;2026-06-29 17:15:29;2026-06-29 17:15:29;1.712;9078.8893
91;SOLUSDT;SYNC;2026-06-29 17:15:36;2026-06-29 17:15:36;1.5329;9080.4222
92;STABLEUSDT;SYNC;2026-06-29 17:29:37;2026-06-29 17:29:37;0.0922;9080.5143
93;STABLEUSDT;SYNC;2026-06-29 17:29:42;2026-06-29 17:29:42;1.1459;9081.6603
94;JUPUSDT;SYNC;2026-06-29 17:57:34;2026-06-29 17:57:34;1.3836;9083.0438
95;DASHUSDT;SYNC;2026-06-29 17:58:13;2026-06-29 17:58:13;1.0819;9084.1257
96;DASHUSDT;SYNC;2026-06-29 17:58:16;2026-06-29 17:58:16;-4.4143;9079.7114
97;SOLUSDT;SYNC;2026-06-29 17:58:18;2026-06-29 17:58:18;-5.3614;9074.35
98;SOLUSDT;SYNC;2026-06-29 17:58:21;2026-06-29 17:58:21;-7.9075;9066.4425
99;JUPUSDT;SYNC;2026-06-29 17:58:24;2026-06-29 17:58:24;-7.2509;9059.1916
100;STABLEUSDT;SYNC;2026-06-29 17:58:27;2026-06-29 17:58:27;-1.3562;9057.8354
101;STABLEUSDT;SYNC;2026-06-29 17:58:30;2026-06-29 17:58:30;-1.5788;9056.2567
102;DASHUSDT;SYNC;2026-06-29 18:00:52;2026-06-29 18:00:52;1.1076;9057.3643
103;DASHUSDT;SYNC;2026-06-29 18:00:57;2026-06-29 18:00:57;2.0673;9059.4316
104;SOLUSDT;SYNC;2026-06-29 18:08:34;2026-06-29 18:08:34;1.7232;9061.1548
105;JUPUSDT;SYNC;2026-06-29 18:17:41;2026-06-29 18:17:41;1.3153;9062.4701
106;STABLEUSDT;SYNC;2026-06-29 18:17:58;2026-06-29 18:17:58;1.2817;9063.7519
107;DASHUSDT;SYNC;2026-06-29 18:30:36;2026-06-29 18:30:36;2.0265;9065.7784
108;STABLEUSDT;SYNC;2026-06-29 18:44:58;2026-06-29 18:44:58;1.1005;9066.8789
109;JUPUSDT;SYNC;2026-06-29 19:13:00;2026-06-29 19:13:00;0.1363;9067.0152
110;JUPUSDT;SYNC;2026-06-29 19:13:03;2026-06-29 19:13:03;0.029;9067.0442
111;JUPUSDT;SYNC;2026-06-29 19:13:05;2026-06-29 19:13:05;1.2174;9068.2616
112;SOLUSDT;SYNC;2026-06-29 19:28:46;2026-06-29 19:28:46;1.7694;9070.031
113;DASHUSDT;SYNC;2026-06-29 19:50:01;2026-06-29 19:50:01;2.0982;9072.1291
114;JUPUSDT;SYNC;2026-06-29 19:58:09;2026-06-29 19:58:09;1.3148;9073.4439
115;SOLUSDT;SYNC;2026-06-29 23:30:41;2026-06-29 23:30:41;1.7816;9075.2255
116;JUPUSDT;SYNC;2026-06-30 00:23:42;2026-06-30 00:23:42;1.3337;9076.5592
117;JUPUSDT;SYNC;2026-06-30 00:28:18;2026-06-30 00:28:18;1.3966;9077.9558
118;SOLUSDT;SYNC;2026-06-30 00:30:06;2026-06-30 00:30:06;1.736;9079.6917
119;STABLEUSDT;SYNC;2026-06-30 00:31:19;2026-06-30 00:31:19;1.0583;9080.75
120;DASHUSDT;SYNC;2026-06-30 00:31:56;2026-06-30 00:31:56;2.2378;9082.9879
121;JUPUSDT;SYNC;2026-06-30 00:32:08;2026-06-30 00:32:08;1.1876;9084.1754
122;JUPUSDT;SYNC;2026-06-30 00:32:09;2026-06-30 00:32:09;0.077;9084.2524
123;JUPUSDT;SYNC;2026-06-30 00:37:06;2026-06-30 00:37:06;-0.0228;9084.2296
124;SOLUSDT;SYNC;2026-06-30 00:41:04;2026-06-30 00:41:04;1.7466;9085.9762
125;JUPUSDT;SYNC;2026-06-30 01:07:12;2026-06-30 01:07:12;1.3665;9087.3427
126;STABLEUSDT;SYNC;2026-06-30 01:07:45;2026-06-30 01:07:45;0.7924;9088.1351
127;DASHUSDT;SYNC;2026-06-30 01:10:39;2026-06-30 01:10:39;0.5162;9088.6513
128;DASHUSDT;SYNC;2026-06-30 01:10:43;2026-06-30 01:10:43;0.0493;9088.7006
129;STABLEUSDT;SYNC;2026-06-30 01:14:37;2026-06-30 01:14:37;0.4392;9089.1398
130;JUPUSDT;SYNC;2026-06-30 02:11:32;2026-06-30 02:11:32;1.437;9090.5768
131;STABLEUSDT;SYNC;2026-06-30 02:49:27;2026-06-30 02:49:27;1.1401;9091.717
132;STABLEUSDT;SYNC;2026-06-30 02:55:20;2026-06-30 02:55:20;1.137;9092.854
133;STABLEUSDT;SYNC;2026-06-30 02:55:53;2026-06-30 02:55:53;1.1143;9093.9683
134;STABLEUSDT;SYNC;2026-06-30 02:56:23;2026-06-30 02:56:23;1.1291;9095.0973
135;STABLEUSDT;SYNC;2026-06-30 03:04:44;2026-06-30 03:04:44;3.4808;9098.5782
136;STABLEUSDT;SYNC;2026-06-30 03:15:22;2026-06-30 03:15:22;-0.0968;9098.4814
137;STABLEUSDT;SYNC;2026-06-30 03:15:26;2026-06-30 03:15:26;0.6885;9099.1699
138;STABLEUSDT;SYNC;2026-06-30 03:16:22;2026-06-30 03:16:22;0.5278;9099.6977
139;SOLUSDT;SYNC;2026-06-30 04:05:10;2026-06-30 04:05:10;1.7486;9101.4464
140;STABLEUSDT;SYNC;2026-06-30 04:14:04;2026-06-30 04:14:04;1.0006;9102.4469
141;STABLEUSDT;SYNC;2026-06-30 04:14:16;2026-06-30 04:14:16;0.1086;9102.5556
142;JUPUSDT;SYNC;2026-06-30 06:25:34;2026-06-30 06:25:34;0.7435;9103.2991
143;JUPUSDT;SYNC;2026-06-30 06:25:36;2026-06-30 06:25:36;0.2992;9103.5983
144;JUPUSDT;SYNC;2026-06-30 06:25:39;2026-06-30 06:25:39;0.4002;9103.9985
145;JUPUSDT;SYNC;2026-06-30 08:16:12;2026-06-30 08:16:12;1.3227;9105.3213
146;SOLUSDT;SYNC;2026-06-30 08:36:12;2026-06-30 08:36:12;1.7596;9107.0809
147;JUPUSDT;SYNC;2026-06-30 08:36:56;2026-06-30 08:36:56;1.4751;9108.556
148;STABLEUSDT;SYNC;2026-06-30 08:41:52;2026-06-30 08:41:52;0.9361;9109.4921
149;JUPUSDT;SYNC;2026-06-30 08:45:48;2026-06-30 08:45:48;1.3618;9110.8539
150;STABLEUSDT;SYNC;2026-06-30 10:31:01;2026-06-30 10:31:01;1.145;9111.9989
151;STABLEUSDT;SYNC;2026-06-30 10:49:27;2026-06-30 10:49:27;1.1511;9113.15
152;STABLEUSDT;SYNC;2026-06-30 11:00:48;2026-06-30 11:00:48;1.0033;9114.1533
153;JUPUSDT;SYNC;2026-06-30 11:30:51;2026-06-30 11:30:51;1.2511;9115.4044
154;SOLUSDT;SYNC;2026-06-30 12:06:22;2026-06-30 12:06:22;1.7474;9117.1518
155;JUPUSDT;SYNC;2026-06-30 12:21:50;2026-06-30 12:21:50;1.3261;9118.4779
156;DASHUSDT;SYNC;2026-06-30 12:23:42;2026-06-30 12:23:42;1.04;9119.5179
157;DASHUSDT;SYNC;2026-06-30 12:23:44;2026-06-30 12:23:44;0.1782;9119.6961
158;SOLUSDT;SYNC;2026-06-30 12:23:49;2026-06-30 12:23:49;1.8982;9121.5942
159;DASHUSDT;SYNC;2026-06-30 12:23:49;2026-06-30 12:23:49;0.3963;9121.9905
160;SOLUSDT;SYNC;2026-06-30 12:50:37;2026-06-30 12:50:37;1.1928;9123.1833
161;JUPUSDT;SYNC;2026-06-30 12:56:46;2026-06-30 12:56:46;1.3312;9124.5145
162;DASHUSDT;SYNC;2026-06-30 12:58:49;2026-06-30 12:58:49;0.1078;9124.6223
163;DASHUSDT;SYNC;2026-06-30 12:59:00;2026-06-30 12:59:00;0.053;9124.6754
164;DASHUSDT;SYNC;2026-06-30 12:59:01;2026-06-30 12:59:01;0.0589;9124.7343
165;DASHUSDT;SYNC;2026-06-30 12:59:02;2026-06-30 12:59:02;0.1502;9124.8845
166;DASHUSDT;SYNC;2026-06-30 12:59:03;2026-06-30 12:59:03;1.9009;9126.7854
167;SOLUSDT;SYNC;2026-06-30 13:03:10;2026-06-30 13:03:10;1.641;9128.4264
168;STABLEUSDT;SYNC;2026-06-30 14:27:41;2026-06-30 14:27:41;3.5091;9131.9356
169;STABLEUSDT;SYNC;2026-06-30 17:47:50;2026-06-30 17:47:50;1.1527;9133.0883
170;STABLEUSDT;SYNC;2026-06-30 17:52:00;2026-06-30 17:52:00;1.1136;9134.2018
171;STABLEUSDT;SYNC;2026-06-30 18:02:47;2026-06-30 18:02:47;0.1918;9134.3936
172;STABLEUSDT;SYNC;2026-06-30 18:02:48;2026-06-30 18:02:48;0.9138;9135.3074
173;STABLEUSDT;SYNC;2026-06-30 18:08:33;2026-06-30 18:08:33;1.1597;9136.4671
174;STABLEUSDT;SYNC;2026-06-30 18:12:08;2026-06-30 18:12:08;1.1135;9137.5806
175;STABLEUSDT;SYNC;2026-06-30 22:18:53;2026-06-30 22:18:53;-2.8271;9134.7535
176;STABLEUSDT;SYNC;2026-06-30 22:18:55;2026-06-30 22:18:55;-5.2007;9129.5527
177;JUPUSDT;SYNC;2026-06-30 22:19:03;2026-06-30 22:19:03;-14.707;9114.8457
178;JUPUSDT;SYNC;2026-06-30 22:19:06;2026-06-30 22:19:06;-10.097;9104.7488
179;SOLUSDT;SYNC;2026-06-30 22:19:10;2026-06-30 22:19:10;-8.3196;9096.4292
180;SOLUSDT;SYNC;2026-06-30 22:19:14;2026-06-30 22:19:14;-4.4048;9092.0244
181;DASHUSDT;SYNC;2026-06-30 22:19:16;2026-06-30 22:19:16;-2.9416;9089.0828
182;DASHUSDT;SYNC;2026-06-30 22:19:20;2026-06-30 22:19:20;-15.8687;9073.2141
