Id;Symbol;Side;Open Time;Close Time;PnL (USDT);Balance
1;STABLEUSDT;SYNC;2026-06-26 23:05:27;2026-06-26 23:05:27;-0.0054;8999.9946
2;STABLEUSDT;SYNC;2026-06-26 23:05:27;2026-06-26 23:05:27;-0.0016;8999.993
3;STABLEUSDT;SYNC;2026-06-26 23:05:41;2026-06-26 23:05:41;-0.0104;8999.9826
4;STABLEUSDT;SYNC;2026-06-26 23:06:25;2026-06-26 23:06:25;-0.0069;8999.9756
5;STABLEUSDT;SYNC;2026-06-26 23:06:27;2026-06-26 23:06:27;0.0032;8999.9788
6;STABLEUSDT;SYNC;2026-06-26 23:06:27;2026-06-26 23:06:27;0.0003;8999.9791
7;STABLEUSDT;SYNC;2026-06-26 23:10:47;2026-06-26 23:10:47;-0.0348;8999.9443
8;STABLEUSDT;SYNC;2026-06-26 23:10:50;2026-06-26 23:10:50;0.0104;8999.9547
9;SOLUSDT;SYNC;2026-06-26 23:33:45;2026-06-26 23:33:45;1.5664;9001.5193
10;DASHUSDT;SYNC;2026-06-26 23:36:30;2026-06-26 23:36:30;0.8658;9002.3849
11;DASHUSDT;SYNC;2026-06-26 23:36:30;2026-06-26 23:36:30;0.5355;9002.9203
12;DASHUSDT;SYNC;2026-06-26 23:36:30;2026-06-26 23:36:30;0.1619;9003.0822
13;STABLEUSDT;SYNC;2026-06-26 23:38:50;2026-06-26 23:38:50;0.7873;9003.8695
14;XAGUSDT;SYNC;2026-06-26 23:56:35;2026-06-26 23:56:35;1.2783;9005.1475
15;SOLUSDT;SYNC;2026-06-27 00:03:30;2026-06-27 00:03:30;1.5437;9006.691
16;DASHUSDT;SYNC;2026-06-27 01:04:13;2026-06-27 01:04:13;1.5801;9008.2708
17;SOLUSDT;SYNC;2026-06-27 01:04:13;2026-06-27 01:04:13;1.5523;9009.823
18;DASHUSDT;SYNC;2026-06-27 01:31:32;2026-06-27 01:31:32;0.508;9010.3305
19;DASHUSDT;SYNC;2026-06-27 01:31:32;2026-06-27 01:31:32;1.0744;9011.4049
20;DASHUSDT;SYNC;2026-06-27 04:26:05;2026-06-27 04:26:05;1.5924;9012.998
21;DASHUSDT;SYNC;2026-06-27 07:59:07;2026-06-27 07:59:07;1.5242;9014.5219
22;STABLEUSDT;SYNC;2026-06-27 08:00:43;2026-06-27 08:00:43;0.0108;9014.5324
23;STABLEUSDT;SYNC;2026-06-27 08:00:43;2026-06-27 08:00:43;0.4125;9014.9449
24;STABLEUSDT;SYNC;2026-06-27 08:00:46;2026-06-27 08:00:46;0.3447;9015.2896
25;STABLEUSDT;SYNC;2026-06-27 08:01:02;2026-06-27 08:01:02;0.7724;9016.0619
26;STABLEUSDT;SYNC;2026-06-27 09:00:55;2026-06-27 09:00:55;0.6595;9016.7213
27;STABLEUSDT;SYNC;2026-06-27 09:29:50;2026-06-27 09:29:50;0.087;9016.8082
28;STABLEUSDT;SYNC;2026-06-27 09:29:55;2026-06-27 09:29:55;0.0374;9016.8456
29;STABLEUSDT;SYNC;2026-06-27 09:30:11;2026-06-27 09:30:11;0.5309;9017.3764
30;STABLEUSDT;SYNC;2026-06-27 09:48:04;2026-06-27 09:48:04;0.5904;9017.9667
31;STABLEUSDT;SYNC;2026-06-27 09:48:04;2026-06-27 09:48:04;0.058;9018.0246
32;DASHUSDT;SYNC;2026-06-27 12:01:51;2026-06-27 12:01:51;1.5338;9019.5589
33;BNBUSDT;SYNC;2026-06-27 14:05:47;2026-06-27 14:05:47;1.564;9021.1226
34;STABLEUSDT;SYNC;2026-06-27 14:13:51;2026-06-27 14:13:51;0.6348;9021.7571
35;STABLEUSDT;SYNC;2026-06-27 14:51:51;2026-06-27 14:51:51;0.407;9022.1639
36;STABLEUSDT;SYNC;2026-06-27 14:58:41;2026-06-27 14:58:41;0.2325;9022.3964
37;STABLEUSDT;SYNC;2026-06-27 15:13:50;2026-06-27 15:13:50;0.6433;9023.0398
38;STABLEUSDT;SYNC;2026-06-27 15:16:44;2026-06-27 15:16:44;0.6424;9023.682
39;STABLEUSDT;SYNC;2026-06-27 15:42:50;2026-06-27 15:42:50;0.079;9023.7607
40;STABLEUSDT;SYNC;2026-06-27 15:42:50;2026-06-27 15:42:50;0.5536;9024.3144
