2026-06-26 20:45:00 | DEBUG | LeverageManager | [XAGUSDT] Margin type CROSSED is already set on exchange.
2026-06-26 20:45:00 | DEBUG | LeverageManager | [XAGUSDT] Margin type CROSSED is already set on exchange.
2026-06-26 20:45:00 | DEBUG | LeverageManager | [SOLUSDT] Margin type CROSSED is already set on exchange.
2026-06-26 20:45:00 | DEBUG | LeverageManager | [SOLUSDT] Margin type CROSSED is already set on exchange.
2026-06-26 20:45:00 | DEBUG | LeverageManager | [BNBUSDT] Margin type CROSSED is already set on exchange.
2026-06-26 20:45:01 | DEBUG | LeverageManager | [BNBUSDT] Margin type CROSSED is already set on exchange.
2026-06-26 20:45:01 | INFO | LeverageManager | [XAGUSDT] Successfully set leverage to 10 and margin type to CROSSED
2026-06-26 20:45:01 | INFO | LeverageManager | [XAGUSDT] Successfully set leverage to 10 and margin type to CROSSED
2026-06-26 20:45:01 | INFO | LeverageManager | [SOLUSDT] Successfully set leverage to 10 and margin type to CROSSED
2026-06-26 20:45:01 | INFO | LeverageManager | [SOLUSDT] Successfully set leverage to 10 and margin type to CROSSED
2026-06-26 20:45:01 | INFO | LeverageManager | [BNBUSDT] Successfully set leverage to 10 and margin type to CROSSED
2026-06-26 20:45:01 | INFO | LeverageManager | [BNBUSDT] Successfully set leverage to 10 and margin type to CROSSED
