2026-06-26 17:54:25 | INFO | TGReceiver | Starting Telegram Receiver...
2026-06-26 17:54:54 | INFO | TGReceiver | [TG] User stopped trading loops.
2026-06-26 17:54:58 | INFO | TGReceiver | [TG] User started trading loops. auto_start flag saved to True.
2026-06-26 17:59:15 | INFO | TGReceiver | Starting Telegram Receiver...
2026-06-26 17:59:26 | INFO | TGReceiver | [TG] User stopped trading loops.
2026-06-26 17:59:46 | INFO | TGReceiver | [TG] User started trading loops. auto_start flag saved to True.
2026-06-26 18:00:30 | INFO | TGReceiver | [TG] User stopped trading loops.
2026-06-26 18:00:57 | INFO | TGReceiver | [TG] User started trading loops. auto_start flag saved to True.
2026-06-26 18:01:10 | INFO | TGReceiver | [TG] User stopped trading loops.
2026-06-26 18:02:43 | INFO | TGReceiver | [TG] User started trading loops. auto_start flag saved to True.
2026-06-26 18:27:43 | INFO | TGReceiver | Starting Telegram Receiver...
2026-06-26 18:28:45 | INFO | TGReceiver | [TG] User stopped trading loops.
2026-06-26 18:28:48 | INFO | TGReceiver | [TG] User started trading loops. auto_start flag saved to True.
2026-06-26 18:29:09 | INFO | TGReceiver | [TG] User stopped trading loops.
2026-06-26 18:29:53 | INFO | TGReceiver | [TG] User started trading loops. auto_start flag saved to True.
2026-06-26 18:30:17 | INFO | TGReceiver | [TG] User stopped trading loops.
2026-06-26 18:30:49 | INFO | TGReceiver | [TG] User started trading loops. auto_start flag saved to True.
2026-06-26 18:31:03 | INFO | TGReceiver | [TG] User stopped trading loops.
