2026-06-23 02:01:51 | INFO | TestWS | Starting stream test...
2026-06-23 02:02:06 | INFO | TestWS | Stopping stream test...
2026-06-23 02:02:36 | INFO | TestWS | Starting stream test...
2026-06-23 02:02:40 | INFO | TestWS | Changing leverage to 11 to trigger an event...
2026-06-23 02:02:40 | INFO | TestWS | Set leverage 11: True None
2026-06-23 02:02:42 | INFO | TestWS | Changing leverage back to 10...
2026-06-23 02:02:43 | INFO | TestWS | Set leverage 10: True None
2026-06-23 02:02:45 | INFO | TestWS | Stopping stream test...
2026-06-23 02:03:20 | INFO | TestWS | Starting stream test...
2026-06-23 02:03:24 | INFO | TestWS | Placing a limit order to trigger ORDER_TRADE_UPDATE...
2026-06-23 02:03:25 | INFO | TestWS | Place Limit Order: False Order's notional must be no smaller than 5 (unless you choose reduce only).
2026-06-23 02:03:32 | INFO | TestWS | Stopping stream test...
2026-06-23 02:03:45 | INFO | TestWS | Starting stream test...
2026-06-23 02:03:49 | INFO | TestWS | Placing a limit order to trigger ORDER_TRADE_UPDATE...
2026-06-23 02:03:50 | INFO | TestWS | Place Limit Order: True None
2026-06-23 02:03:54 | INFO | TestWS | Canceling order 18293688057...
2026-06-23 02:03:54 | INFO | TestWS | Cancel Limit Order: True None
2026-06-23 02:03:58 | INFO | TestWS | Stopping stream test...
