2026-06-30 02:59:02 | INFO | VolatilityManager | [VolatilityManager] Started background loop.
2026-06-30 03:20:15 | INFO | VolatilityManager | [VolatilityManager] Started background loop.
2026-06-30 03:23:55 | INFO | VolatilityManager | [VolatilityManager] Processing 4 symbols. TF=1w, window=8, min_vol=20.0%
2026-06-30 03:23:55 | INFO | VolatilityManager | [VolatilityManager] [STABLEUSDT] Переход на Super Grid настройки. Волатильность=23.39%. Коэффициент=0.6879. Сетка обновлена (super_indent).
2026-06-30 03:23:55 | INFO | VolatilityManager | [VolatilityManager] [STABLEUSDT] LONG Горячая подгрузка: неактивные прайсы сброшены на None. Ожидание перерасчета сетки.
2026-06-30 03:23:55 | INFO | VolatilityManager | [VolatilityManager] [STABLEUSDT] SHORT Горячая подгрузка: неактивные прайсы сброшены на None. Ожидание перерасчета сетки.
2026-06-30 03:23:56 | INFO | VolatilityManager | [VolatilityManager] [DASHUSDT] Переход на Super Grid настройки. Волатильность=22.12%. Коэффициент=0.6507. Сетка обновлена (super_indent).
2026-06-30 03:23:56 | INFO | VolatilityManager | [VolatilityManager] [DASHUSDT] LONG Горячая подгрузка: неактивные прайсы сброшены на None. Ожидание перерасчета сетки.
2026-06-30 03:23:56 | INFO | VolatilityManager | [VolatilityManager] [DASHUSDT] SHORT Горячая подгрузка: неактивные прайсы сброшены на None. Ожидание перерасчета сетки.
2026-06-30 03:23:56 | INFO | VolatilityManager | [VolatilityManager] [VVVUSDT] Переход на Super Grid настройки. Волатильность=38.20%. Коэффициент=1.1236. Сетка обновлена (super_indent).
2026-06-30 03:23:56 | INFO | VolatilityManager | [VolatilityManager] [VVVUSDT] LONG Горячая подгрузка: неактивные прайсы сброшены на None. Ожидание перерасчета сетки.
2026-06-30 03:23:56 | INFO | VolatilityManager | [VolatilityManager] [VVVUSDT] SHORT Горячая подгрузка: неактивные прайсы сброшены на None. Ожидание перерасчета сетки.
2026-06-30 03:23:56 | INFO | VolatilityManager | [VolatilityManager] [XPLUSDT] Переход на Super Grid настройки. Волатильность=37.42%. Коэффициент=1.1007. Сетка обновлена (super_indent).
2026-06-30 03:23:56 | INFO | VolatilityManager | [VolatilityManager] [XPLUSDT] LONG Горячая подгрузка: неактивные прайсы сброшены на None. Ожидание перерасчета сетки.
2026-06-30 03:23:56 | INFO | VolatilityManager | [VolatilityManager] [XPLUSDT] SHORT Горячая подгрузка: неактивные прайсы сброшены на None. Ожидание перерасчета сетки.
2026-06-30 03:49:42 | INFO | VolatilityManager | [VolatilityManager] Processing 4 symbols. TF=3m, window=3000, min_vol=0.3%
2026-06-30 03:49:42 | WARNING | VolatilityManager | [VolatilityManager] [STABLEUSDT] Failed to fetch klines or empty.
2026-06-30 03:49:42 | WARNING | VolatilityManager | [VolatilityManager] [DASHUSDT] Failed to fetch klines or empty.
2026-06-30 03:49:42 | WARNING | VolatilityManager | [VolatilityManager] [VVVUSDT] Failed to fetch klines or empty.
2026-06-30 03:49:43 | WARNING | VolatilityManager | [VolatilityManager] [XPLUSDT] Failed to fetch klines or empty.
2026-06-30 20:59:34 | INFO | VolatilityManager | [VolatilityManager] Started background loop.
2026-06-30 20:59:34 | INFO | VolatilityManager | [VolatilityManager] Processing 4 symbols. TF=3m, window=3000, min_vol=0.3%
2026-06-30 20:59:34 | WARNING | VolatilityManager | [VolatilityManager] [STABLEUSDT] Failed to fetch klines or empty.
2026-06-30 20:59:35 | WARNING | VolatilityManager | [VolatilityManager] [DASHUSDT] Failed to fetch klines or empty.
2026-06-30 20:59:35 | WARNING | VolatilityManager | [VolatilityManager] [XPLUSDT] Failed to fetch klines or empty.
2026-06-30 20:59:35 | WARNING | VolatilityManager | [VolatilityManager] [SOLUSDT] Failed to fetch klines or empty.
2026-06-30 21:07:01 | INFO | VolatilityManager | [VolatilityManager] Started background loop.
2026-06-30 21:07:01 | INFO | VolatilityManager | [VolatilityManager] Processing 4 symbols. TF=3m, window=3000, min_vol=0.3%
2026-06-30 21:07:01 | WARNING | VolatilityManager | [VolatilityManager] [STABLEUSDT] Запрошено 3000 свечей, но получено только 1500 (монета может быть новой). Расчет идет по доступным 1500 свечам.
2026-06-30 21:07:01 | INFO | VolatilityManager | [VolatilityManager] [STABLEUSDT] Переход на Super Grid настройки. Волатильность=3.52%. Коэффициент=0.1036. Сетка обновлена (super_indent).
2026-06-30 21:07:01 | INFO | VolatilityManager | [VolatilityManager] [STABLEUSDT] LONG Горячая подгрузка: неактивные прайсы сброшены на None. Ожидание перерасчета сетки.
2026-06-30 21:07:01 | INFO | VolatilityManager | [VolatilityManager] [STABLEUSDT] SHORT Горячая подгрузка: неактивные прайсы сброшены на None. Ожидание перерасчета сетки.
2026-06-30 21:07:01 | WARNING | VolatilityManager | [VolatilityManager] [DASHUSDT] Запрошено 3000 свечей, но получено только 1500 (монета может быть новой). Расчет идет по доступным 1500 свечам.
2026-06-30 21:07:01 | INFO | VolatilityManager | [VolatilityManager] [DASHUSDT] Переход на Super Grid настройки. Волатильность=2.52%. Коэффициент=0.0742. Сетка обновлена (super_indent).
2026-06-30 21:07:01 | INFO | VolatilityManager | [VolatilityManager] [DASHUSDT] LONG Горячая подгрузка: неактивные прайсы сброшены на None. Ожидание перерасчета сетки.
2026-06-30 21:07:01 | INFO | VolatilityManager | [VolatilityManager] [DASHUSDT] SHORT Горячая подгрузка: неактивные прайсы сброшены на None. Ожидание перерасчета сетки.
2026-06-30 21:07:02 | WARNING | VolatilityManager | [VolatilityManager] [XPLUSDT] Запрошено 3000 свечей, но получено только 1500 (монета может быть новой). Расчет идет по доступным 1500 свечам.
2026-06-30 21:07:02 | INFO | VolatilityManager | [VolatilityManager] [XPLUSDT] Переход на Super Grid настройки. Волатильность=4.21%. Коэффициент=0.1237. Сетка обновлена (super_indent).
2026-06-30 21:07:02 | INFO | VolatilityManager | [VolatilityManager] [XPLUSDT] LONG Горячая подгрузка: неактивные прайсы сброшены на None. Ожидание перерасчета сетки.
2026-06-30 21:07:02 | INFO | VolatilityManager | [VolatilityManager] [XPLUSDT] SHORT Горячая подгрузка: неактивные прайсы сброшены на None. Ожидание перерасчета сетки.
2026-06-30 21:07:02 | WARNING | VolatilityManager | [VolatilityManager] [SOLUSDT] Запрошено 3000 свечей, но получено только 1500 (монета может быть новой). Расчет идет по доступным 1500 свечам.
