Symbol;Side;Open Time;Close Time;PnL (USDT);Balance
SOLUSDT;SHORT;2026-06-26 20:25:01;2026-06-26 20:33:45;1.5663;8999.9317
DASHUSDT;SHORT;2026-06-26 20:25:01;2026-06-26 20:36:31;1.5632;8999.5961
STABLEUSDT;SHORT;2026-06-26 20:25:00;2026-06-26 20:38:51;0.7872;9000.3902
XAGUSDT;LONG;2026-06-26 20:25:01;2026-06-26 20:56:37;1.2783;8999.8139
SOLUSDT;SHORT;2026-06-26 20:35:00;2026-06-26 21:03:31;1.5436;8999.1242
DASHUSDT;SHORT;2026-06-26 20:40:00;2026-06-26 22:04:14;1.58;8998.1118
SOLUSDT;SHORT;2026-06-26 21:05:00;2026-06-26 22:04:14;1.5522;8999.664
DASHUSDT;SHORT;2026-06-26 22:05:00;2026-06-26 22:31:33;1.5823;8999.9561
DASHUSDT;SHORT;2026-06-26 22:35:00;2026-06-27 01:26:05;1.5928;9000.0415
DASHUSDT;SHORT;2026-06-27 01:30:00;2026-06-27 04:59:08;1.5241;9000.0071
STABLEUSDT;SHORT;2026-06-26 20:40:00;2026-06-27 05:00:46;0.7681;8999.9649
STABLEUSDT;SHORT;2026-06-27 05:00:47;2026-06-27 05:01:02;0.7724;9000.2212
STABLEUSDT;LONG;2026-06-26 20:25:00;2026-06-27 06:00:55;2.9867;9003.5168
STABLEUSDT;LONG;2026-06-27 06:00:55;2026-06-27 06:30:12;0.6552;9003.4291
STABLEUSDT;LONG;2026-06-27 06:30:12;2026-06-27 06:48:05;0.6483;9003.441
DASHUSDT;SHORT;2026-06-27 05:00:00;2026-06-27 09:01:51;1.5339;9003.6643
BNBUSDT;SHORT;2026-06-26 20:25:01;2026-06-27 11:05:48;1.5639;9004.0816
STABLEUSDT;LONG;2026-06-27 06:50:00;2026-06-27 11:13:52;0.6349;9003.9934
STABLEUSDT;LONG;2026-06-27 11:15:00;2026-06-27 11:58:41;0.6394;9004.2002
STABLEUSDT;LONG;2026-06-27 12:00:00;2026-06-27 12:13:51;0.6433;9003.9912
STABLEUSDT;LONG;2026-06-27 12:15:00;2026-06-27 12:16:44;0.6423;9004.7106
STABLEUSDT;LONG;2026-06-27 12:20:00;2026-06-27 12:42:50;0.6325;9003.7047
STABLEUSDT;LONG;2026-06-27 12:45:00;2026-06-27 12:47:23;0.6533;9003.71
STABLEUSDT;LONG;2026-06-27 12:50:00;2026-06-27 12:52:32;0.6635;9003.8488
STABLEUSDT;LONG;2026-06-27 12:55:00;2026-06-27 13:09:54;0.6615;9004.3252
SOLUSDT;LONG;2026-06-26 20:25:01;2026-06-27 15:10:57;4.6622;9010.6654
STABLEUSDT;SHORT;2026-06-27 05:05:00;2026-06-27 16:01:12;10.425;9020.8071
STABLEUSDT;SHORT;2026-06-27 16:05:00;2026-06-27 17:49:13;0.7917;9023.0816
STABLEUSDT;LONG;2026-06-27 13:10:00;2026-06-27 18:16:31;5.9796;9029.3596
BNBUSDT;SHORT;2026-06-27 11:05:49;2026-06-27 19:25:02;0.0;9026.473
SOLUSDT;SHORT;2026-06-26 22:05:00;2026-06-27 19:25:02;1.2818;9027.7548
DASHUSDT;SHORT;2026-06-27 09:05:01;2026-06-27 19:25:09;1.5405;9027.5533
STABLEUSDT;LONG;2026-06-27 18:20:00;2026-06-27 20:15:36;0.6506;9027.4962
DASHUSDT;SHORT;2026-06-27 19:25:10;2026-06-27 21:40:00;1.5499;9027.6133
DASHUSDT;SHORT;2026-06-27 21:40:00;2026-06-27 22:01:02;1.5593;9025.8365
SOLUSDT;SHORT;2026-06-27 19:25:03;2026-06-27 22:02:45;1.5694;9026.0516
SOLUSDT;SHORT;2026-06-27 22:05:00;2026-06-27 22:16:34;0.0;9030.3909
DASHUSDT;SHORT;2026-06-27 22:05:00;2026-06-27 22:16:40;2.3549;9030.3201
