Symbol;Side;Open Time;Close Time;PnL (USDT);Balance
SOLUSDT;SHORT;2026-06-26 20:25:01;2026-06-26 20:33:45;1.4056;8999.9317
DASHUSDT;SHORT;2026-06-26 20:25:01;2026-06-26 20:36:31;1.4023;8999.5961
STABLEUSDT;SHORT;2026-06-26 20:25:00;2026-06-26 20:38:51;0.7068;9000.3902
XAGUSDT;LONG;2026-06-26 20:25:01;2026-06-26 20:56:37;1.1862;8999.8139
SOLUSDT;SHORT;2026-06-26 20:35:00;2026-06-26 21:03:31;1.3822;8999.1242
DASHUSDT;SHORT;2026-06-26 20:40:00;2026-06-26 22:04:14;1.4191;8998.1118
SOLUSDT;SHORT;2026-06-26 21:05:00;2026-06-26 22:04:14;1.3909;8999.664
DASHUSDT;SHORT;2026-06-26 22:05:00;2026-06-26 22:31:33;1.4214;8999.9561
DASHUSDT;SHORT;2026-06-26 22:35:00;2026-06-27 01:26:05;1.4322;9000.0415
DASHUSDT;SHORT;2026-06-27 01:30:00;2026-06-27 04:59:08;1.3632;9000.0071
STABLEUSDT;SHORT;2026-06-26 20:40:00;2026-06-27 05:00:46;0.6298;8999.9649
STABLEUSDT;SHORT;2026-06-27 05:00:47;2026-06-27 05:01:02;1.4368;9000.2212
STABLEUSDT;LONG;2026-06-26 20:25:00;2026-06-27 06:00:55;0.5211;9003.5168
STABLEUSDT;LONG;2026-06-27 06:00:55;2026-06-27 06:30:12;1.1529;9003.4291
STABLEUSDT;LONG;2026-06-27 06:30:12;2026-06-27 06:48:05;1.0795;9003.441
DASHUSDT;SHORT;2026-06-27 05:00:00;2026-06-27 09:01:51;1.3726;9003.6643
BNBUSDT;SHORT;2026-06-26 20:25:01;2026-06-27 11:05:48;1.2862;9004.0816
STABLEUSDT;LONG;2026-06-27 06:50:00;2026-06-27 11:13:52;0.5541;9003.9934
STABLEUSDT;LONG;2026-06-27 11:15:00;2026-06-27 11:58:41;0.5583;9004.2002
STABLEUSDT;LONG;2026-06-27 12:00:00;2026-06-27 12:13:51;0.5623;9003.9912
STABLEUSDT;LONG;2026-06-27 12:15:00;2026-06-27 12:16:44;0.5611;9004.7106
STABLEUSDT;LONG;2026-06-27 12:20:00;2026-06-27 12:42:50;0.5514;9003.7047
STABLEUSDT;LONG;2026-06-27 12:45:00;2026-06-27 12:47:23;0.5723;9003.71
STABLEUSDT;LONG;2026-06-27 12:50:00;2026-06-27 12:52:32;0.5824;9003.8488
STABLEUSDT;LONG;2026-06-27 12:55:00;2026-06-27 13:09:54;0.5805;9004.3252
SOLUSDT;LONG;2026-06-26 20:25:01;2026-06-27 15:10:57;1.0059;9010.6654
STABLEUSDT;SHORT;2026-06-27 05:05:00;2026-06-27 16:01:12;3.1233;9020.8071
STABLEUSDT;SHORT;2026-06-27 16:05:00;2026-06-27 17:49:13;0.7112;9023.0816
STABLEUSDT;LONG;2026-06-27 13:10:00;2026-06-27 18:16:31;1.7326;9029.3596
BNBUSDT;SHORT;2026-06-27 11:05:49;2026-06-27 19:25:02;2.7949;9026.473
SOLUSDT;SHORT;2026-06-26 22:05:00;2026-06-27 19:25:02;1.2793;9027.7548
DASHUSDT;SHORT;2026-06-27 09:05:01;2026-06-27 19:25:09;1.2626;9027.5533
STABLEUSDT;LONG;2026-06-27 18:20:00;2026-06-27 20:15:36;0.511;9027.4962
DASHUSDT;SHORT;2026-06-27 19:25:10;2026-06-27 21:40:00;2.7655;9027.6133
DASHUSDT;SHORT;2026-06-27 21:40:00;2026-06-27 22:01:02;2.9006;9025.8365
SOLUSDT;SHORT;2026-06-27 19:25:03;2026-06-27 22:02:45;2.9168;9026.0516
SOLUSDT;SHORT;2026-06-27 22:05:00;2026-06-27 22:16:34;1.6791;9030.3909
DASHUSDT;SHORT;2026-06-27 22:05:00;2026-06-27 22:16:40;2.1093;9030.3201
