Symbol;Side;Open Time;Close Time;PnL (USDT);Balance
STABLEUSDT;NONE;2026-06-26 23:05:27;2026-06-26 23:06:27;-0.0208;8999.9792
STABLEUSDT;NONE;2026-06-26 23:10:47;2026-06-26 23:10:50;-0.0244;8999.9548
SOLUSDT;NONE;2026-06-26 23:33:45;2026-06-26 23:33:45;1.5664;9001.5212
DASHUSDT;NONE;2026-06-26 23:36:30;2026-06-26 23:36:30;1.5632;9003.0844
STABLEUSDT;NONE;2026-06-26 23:38:50;2026-06-26 23:38:50;0.7873;9003.8717
XAGUSDT;NONE;2026-06-26 23:56:35;2026-06-26 23:56:35;1.2783;9005.15
SOLUSDT;NONE;2026-06-27 00:03:30;2026-06-27 00:03:30;1.5437;9006.6937
DASHUSDT;NONE;2026-06-27 01:04:13;2026-06-27 01:04:13;1.5801;9008.2738
SOLUSDT;NONE;2026-06-27 01:04:13;2026-06-27 01:04:13;1.5523;9009.8261
DASHUSDT;NONE;2026-06-27 01:31:32;2026-06-27 01:31:32;1.5823;9011.4084
DASHUSDT;NONE;2026-06-27 04:26:05;2026-06-27 04:26:05;1.5924;9013.0008
DASHUSDT;NONE;2026-06-27 07:59:07;2026-06-27 07:59:07;1.5242;9014.525
STABLEUSDT;NONE;2026-06-27 08:00:43;2026-06-27 08:01:02;1.5404;9016.0654
STABLEUSDT;NONE;2026-06-27 09:00:55;2026-06-27 09:00:55;0.6595;9016.7249
STABLEUSDT;NONE;2026-06-27 09:29:50;2026-06-27 09:30:11;0.6553;9017.3802
STABLEUSDT;NONE;2026-06-27 09:48:04;2026-06-27 09:48:04;0.6483;9018.0285
DASHUSDT;NONE;2026-06-27 12:01:51;2026-06-27 12:01:51;1.5338;9019.5623
BNBUSDT;NONE;2026-06-27 14:05:47;2026-06-27 14:05:47;1.564;9021.1263
STABLEUSDT;NONE;2026-06-27 14:13:51;2026-06-27 14:13:51;0.6348;9021.7611
STABLEUSDT;NONE;2026-06-27 14:51:51;2026-06-27 14:51:51;0.407;9022.1681
STABLEUSDT;NONE;2026-06-27 14:58:41;2026-06-27 14:58:41;0.2325;9022.4006
STABLEUSDT;NONE;2026-06-27 15:13:50;2026-06-27 15:13:50;0.6433;9023.0439
STABLEUSDT;NONE;2026-06-27 15:16:44;2026-06-27 15:16:44;0.6424;9023.6863
STABLEUSDT;NONE;2026-06-27 15:42:50;2026-06-27 15:42:50;0.6326;9024.3189
STABLEUSDT;NONE;2026-06-27 15:47:22;2026-06-27 15:47:22;0.6534;9024.9723
STABLEUSDT;NONE;2026-06-27 15:52:30;2026-06-27 15:52:31;0.6635;9025.6358
STABLEUSDT;NONE;2026-06-27 16:09:53;2026-06-27 16:09:53;0.6615;9026.2973
SOLUSDT;NONE;2026-06-27 18:10:56;2026-06-27 18:10:56;1.2816;9027.5789
STABLEUSDT;NONE;2026-06-27 19:01:12;2026-06-27 19:01:12;3.2851;9030.864
STABLEUSDT;NONE;2026-06-27 20:49:09;2026-06-27 20:49:09;0.7919;9031.6559
STABLEUSDT;NONE;2026-06-27 21:16:30;2026-06-27 21:16:30;1.8959;9033.5518
BNBUSDT;NONE;2026-06-27 22:25:01;2026-06-27 22:25:01;1.5548;9035.1066
SOLUSDT;NONE;2026-06-27 22:25:02;2026-06-27 22:25:02;1.5566;9036.6632
DASHUSDT;NONE;2026-06-27 22:25:09;2026-06-27 22:25:09;1.5406;9038.2038
STABLEUSDT;NONE;2026-06-27 23:15:36;2026-06-27 23:15:36;0.6511;9038.8549
DASHUSDT;NONE;2026-06-28 00:39:59;2026-06-28 00:39:59;1.5502;9040.4051
DASHUSDT;NONE;2026-06-28 00:51:50;2026-06-28 00:51:54;1.5596;9041.9647
BNBUSDT;NONE;2026-06-28 00:52:24;2026-06-28 00:52:24;1.5456;9043.5103
SOLUSDT;NONE;2026-06-28 01:02:45;2026-06-28 01:02:45;1.5695;9045.0798
BNBUSDT;NONE;2026-06-28 01:05:27;2026-06-28 01:05:27;-4.6046;9040.4752
XAGUSDT;NONE;2026-06-28 01:05:31;2026-06-28 01:05:33;-1.8888;9038.5864
SOLUSDT;NONE;2026-06-28 01:16:34;2026-06-28 01:16:34;1.925;9040.5114
DASHUSDT;NONE;2026-06-28 01:16:40;2026-06-28 01:16:40;2.355;9042.8664
JUPUSDT;NONE;2026-06-28 01:37:02;2026-06-28 01:37:02;1.534;9044.4004
JUPUSDT;NONE;2026-06-28 02:28:49;2026-06-28 02:28:49;1.534;9045.9344
STABLEUSDT;NONE;2026-06-28 03:25:13;2026-06-28 03:25:13;0.7623;9046.6967
STABLEUSDT;NONE;2026-06-28 03:53:36;2026-06-28 03:53:36;1.2642;9047.9609
STABLEUSDT;NONE;2026-06-28 04:14:08;2026-06-28 04:14:08;1.3204;9049.2813
DASHUSDT;NONE;2026-06-28 06:24:34;2026-06-28 06:24:34;2.357;9051.6383
JUPUSDT;NONE;2026-06-28 06:31:50;2026-06-28 06:31:50;1.5418;9053.1801
JUPUSDT;NONE;2026-06-28 07:11:37;2026-06-28 07:11:37;1.5509;9054.731
JUPUSDT;NONE;2026-06-28 08:03:47;2026-06-28 08:03:47;1.5587;9056.2897
DASHUSDT;NONE;2026-06-28 08:24:18;2026-06-28 08:24:18;2.3722;9058.6619
SOLUSDT;NONE;2026-06-28 08:28:20;2026-06-28 08:28:20;1.9285;9060.5904
STABLEUSDT;NONE;2026-06-28 08:53:41;2026-06-28 08:53:41;1.2824;9061.8728
DASHUSDT;NONE;2026-06-28 09:12:07;2026-06-28 09:12:07;2.3868;9064.2596
JUPUSDT;NONE;2026-06-28 09:17:44;2026-06-28 09:17:44;1.5704;9065.83
STABLEUSDT;NONE;2026-06-28 09:32:26;2026-06-28 09:32:28;2.8961;9068.7261
STABLEUSDT;NONE;2026-06-28 09:47:56;2026-06-28 09:47:56;1.2715;9069.9976
STABLEUSDT;NONE;2026-06-28 13:00:17;2026-06-28 13:00:17;1.3222;9071.3198
STABLEUSDT;NONE;2026-06-28 13:40:37;2026-06-28 13:40:37;1.2668;9072.5866
STABLEUSDT;NONE;2026-06-28 13:56:23;2026-06-28 13:56:24;1.2692;9073.8558
DASHUSDT;NONE;2026-06-28 15:16:54;2026-06-28 15:16:54;2.2842;9076.14
